scenario,model_key,n,p,s2,repeat,seed,config_id,varied_parameter,m,alpha,beta,k,precision_raw_local,recall_raw_local,f1_raw_local,r_miss_raw_local,n_selected_raw_local,precision_raw_global_max,recall_raw_global_max,f1_raw_global_max,r_miss_raw_global_max,n_selected_raw_global_max,precision_raw_global_se,recall_raw_global_se,f1_raw_global_se,r_miss_raw_global_se,n_selected_raw_global_se,precision_logml_local,recall_logml_local,f1_logml_local,r_miss_logml_local,n_selected_logml_local,precision_logml_global_max,recall_logml_global_max,f1_logml_global_max,r_miss_logml_global_max,n_selected_logml_global_max,precision_logml_global_se,recall_logml_global_se,f1_logml_global_se,r_miss_logml_global_se,n_selected_logml_global_se,true_variables,selected_raw_local,selected_raw_global_max,selected_raw_global_se,selected_logml_local,selected_logml_global_max,selected_logml_global_se,status,error
bm1,binary,1000,50,1.0,5,4084929724,m_high,m,50,0.95,2.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.2222222222222222,0.4,0.2857142857142857,1.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.33333333333333337,1.0,1.0,"[0, 1, 25, 26, 27]","[13, 24, 31, 33, 48]",[],"[13, 31, 33]","[0, 11, 13, 19, 24, 25, 29, 40, 48]",[],[25],complete,
bm1,binary,1000,50,1.0,5,4084929724,beta_low,beta,20,0.95,1.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,"[0, 1, 25, 26, 27]","[2, 3, 15, 22, 29, 44, 46]",[],[3],"[3, 23, 24, 29, 46]",[],[23],complete,
bm1,binary,1000,50,1.0,5,4084929724,beta_high,beta,20,0.95,3.0,2.0,0.14285714285714285,0.2,0.16666666666666666,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14285714285714285,0.2,0.16666666666666666,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,"[0, 1, 25, 26, 27]","[9, 11, 16, 23, 25, 33, 43]",[],[],"[1, 3, 4, 9, 11, 16, 23]",[],"[9, 23]",complete,
bm1,binary,1000,50,1.0,5,4084929724,k_low,k,20,0.95,2.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.16666666666666666,0.2,0.1818181818181818,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,"[0, 1, 25, 26, 27]","[2, 9, 14, 22, 28, 38]",[],"[2, 9, 22]","[9, 14, 19, 26, 46, 48]",[],"[9, 14]",complete,
bm1,binary,1000,50,1.0,5,4084929724,k_high,k,20,0.95,2.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,"[0, 1, 25, 26, 27]","[7, 12, 13, 17, 49]",[],[],"[20, 29, 48]",[],[],complete,
bm1,binary,1000,50,1.0,6,188286950,reference,reference,20,0.95,2.0,2.0,0.16666666666666666,0.2,0.1818181818181818,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.4,0.4444444444444445,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.5,0.2,0.28571428571428575,1.0,2.0,"[0, 1, 25, 26, 27]","[5, 6, 19, 27, 31, 41]",[],[5],"[1, 7, 25, 28]",[],"[1, 7]",complete,
bm1,binary,1000,50,1.0,6,188286950,m_low,m,10,0.95,2.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.16666666666666666,0.2,0.1818181818181818,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.2,0.25,1.0,3.0,"[0, 1, 25, 26, 27]","[6, 15, 31, 37, 43, 44]",[],"[43, 44]","[7, 23, 26, 35, 37, 43]",[],"[7, 26, 37]",complete,
bm1,binary,1000,50,1.0,6,188286950,m_high,m,50,0.95,2.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,"[0, 1, 25, 26, 27]","[17, 19, 38, 41, 49]",[],[],"[3, 5, 18, 29, 38, 49]",[],"[3, 49]",complete,
bm1,binary,1000,50,1.0,6,188286950,beta_low,beta,20,0.95,1.0,2.0,0.3333333333333333,0.2,0.25,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.3333333333333333,0.4,0.3636363636363636,1.0,6.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.2,0.25,1.0,3.0,"[0, 1, 25, 26, 27]","[0, 31, 32]",[],[0],"[0, 11, 21, 26, 32, 35]",[21],"[0, 21, 32]",complete,
bm1,binary,1000,50,1.0,6,188286950,beta_high,beta,20,0.95,3.0,2.0,0.16666666666666666,0.2,0.1818181818181818,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.2,0.25,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.33333333333333337,1.0,1.0,"[0, 1, 25, 26, 27]","[3, 6, 14, 16, 17, 27]",[],[17],"[17, 23, 26]",[],[26],complete,
