scenario,model_key,n,p,s2,repeat,seed,config_id,varied_parameter,m,alpha,beta,k,precision_raw_local,recall_raw_local,f1_raw_local,r_miss_raw_local,n_selected_raw_local,precision_raw_global_max,recall_raw_global_max,f1_raw_global_max,r_miss_raw_global_max,n_selected_raw_global_max,precision_raw_global_se,recall_raw_global_se,f1_raw_global_se,r_miss_raw_global_se,n_selected_raw_global_se,precision_logml_local,recall_logml_local,f1_logml_local,r_miss_logml_local,n_selected_logml_local,precision_logml_global_max,recall_logml_global_max,f1_logml_global_max,r_miss_logml_global_max,n_selected_logml_global_max,precision_logml_global_se,recall_logml_global_se,f1_logml_global_se,r_miss_logml_global_se,n_selected_logml_global_se,true_variables,selected_raw_local,selected_raw_global_max,selected_raw_global_se,selected_logml_local,selected_logml_global_max,selected_logml_global_se,status,error
cm2,continuous,500,50,10.0,2,1032191484,k_high,k,20,0.95,2.0,3.0,0.25,0.3333333333333333,0.28571428571428575,1.0,8.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.3333333333333333,0.16666666666666666,0.2222222222222222,1.0,3.0,0.5,0.6666666666666666,0.5714285714285715,1.0,8.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,6.0,"[0, 20, 40, 41, 42, 43]","[30, 37, 42, 43, 59, 62, 67, 69]",[42],"[30, 42, 59]","[0, 7, 12, 30, 41, 42, 43, 67]",[42],"[0, 12, 30, 41, 42, 43]",complete,
cm2,continuous,500,50,10.0,3,1275032954,reference,reference,20,0.95,2.0,2.0,0.2,0.3333333333333333,0.25,1.0,10.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.25,0.16666666666666666,0.2,1.0,4.0,0.2222222222222222,0.3333333333333333,0.26666666666666666,1.0,9.0,0.5,0.16666666666666666,0.25,1.0,2.0,0.5,0.3333333333333333,0.4,1.0,4.0,"[0, 20, 40, 41, 42, 43]","[1, 19, 25, 42, 43, 48, 50, 53, 66, 74]",[42],"[25, 42, 66, 74]","[21, 25, 30, 37, 42, 43, 50, 66, 74]","[42, 66]","[25, 42, 43, 66]",complete,
cm2,continuous,500,50,10.0,3,1275032954,m_low,m,10,0.95,2.0,2.0,0.3,0.5,0.37499999999999994,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.3333333333333333,0.5,0.4,1.0,9.0,0.5,0.16666666666666666,0.25,1.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,6.0,"[0, 20, 40, 41, 42, 43]","[0, 7, 27, 32, 39, 42, 43, 49, 66, 70]",[],"[39, 66]","[0, 21, 25, 31, 37, 42, 43, 50, 66]","[42, 66]","[0, 21, 31, 43, 50, 66]",complete,
cm2,continuous,500,50,10.0,3,1275032954,m_high,m,50,0.95,2.0,2.0,0.2222222222222222,0.3333333333333333,0.26666666666666666,1.0,9.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,6.0,0.2857142857142857,0.3333333333333333,0.30769230769230765,1.0,7.0,0.5,0.16666666666666666,0.25,1.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,6.0,"[0, 20, 40, 41, 42, 43]","[16, 18, 24, 27, 32, 42, 43, 62, 66]",[42],"[24, 27, 42, 43, 62, 66]","[30, 37, 42, 43, 48, 62, 66]","[42, 66]","[37, 42, 43, 48, 62, 66]",complete,
cm2,continuous,500,50,10.0,3,1275032954,beta_low,beta,20,0.95,1.0,2.0,0.2222222222222222,0.3333333333333333,0.26666666666666666,1.0,9.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.5,0.16666666666666666,0.25,1.0,2.0,0.125,0.16666666666666666,0.14285714285714288,1.0,8.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,6.0,"[0, 20, 40, 41, 42, 43]","[16, 19, 31, 41, 42, 44, 48, 54, 66]",[42],"[42, 66]","[21, 31, 37, 42, 48, 63, 66, 72]",[42],"[21, 31, 37, 42, 48, 66]",complete,
cm2,continuous,500,50,10.0,3,1275032954,beta_high,beta,20,0.95,3.0,2.0,0.3333333333333333,0.5,0.4,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,6.0,0.3,0.5,0.37499999999999994,1.0,10.0,0.5,0.16666666666666666,0.25,1.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,6.0,"[0, 20, 40, 41, 42, 43]","[26, 38, 41, 42, 43, 50, 62, 66, 70]",[],"[26, 38, 41, 42, 62, 66]","[0, 6, 25, 30, 31, 37, 42, 43, 50, 66]","[42, 66]","[0, 6, 31, 37, 42, 66]",complete,
cm2,continuous,500,50,10.0,3,1275032954,k_low,k,20,0.95,2.0,1.0,0.4444444444444444,0.6666666666666666,0.5333333333333333,1.0,9.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.4,0.3333333333333333,0.3636363636363636,1.0,5.0,0.4444444444444444,0.6666666666666666,0.5333333333333333,1.0,9.0,0.5,0.16666666666666666,0.25,1.0,2.0,0.6,0.5,0.5454545454545454,1.0,5.0,"[0, 20, 40, 41, 42, 43]","[0, 1, 9, 41, 42, 43, 62, 66, 71]",[42],"[42, 43, 62, 66, 71]","[0, 12, 19, 21, 30, 41, 42, 43, 66]","[42, 66]","[0, 12, 42, 43, 66]",complete,
cm2,continuous,500,50,10.0,3,1275032954,k_high,k,20,0.95,2.0,3.0,0.4444444444444444,0.6666666666666666,0.5333333333333333,1.0,9.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.75,0.5,0.6,1.0,4.0,0.5,0.5,0.5,1.0,6.0,0.5,0.16666666666666666,0.25,1.0,2.0,0.4,0.3333333333333333,0.3636363636363636,1.0,5.0,"[0, 20, 40, 41, 42, 43]","[4, 14, 40, 41, 42, 43, 45, 49, 66]",[42],"[40, 42, 43, 66]","[0, 21, 37, 42, 43, 66]","[42, 66]","[21, 37, 42, 43, 66]",complete,
cm2,continuous,500,50,10.0,4,1393387271,reference,reference,20,0.95,2.0,2.0,0.42857142857142855,0.5,0.4615384615384615,1.0,7.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,3.0,0.625,0.8333333333333334,0.7142857142857143,1.0,8.0,1.0,0.6666666666666666,0.8,1.0,4.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,6.0,"[0, 20, 40, 41, 42, 43]","[24, 31, 41, 42, 43, 60, 80]",[42],"[41, 42, 43]","[0, 4, 8, 20, 41, 42, 43, 60]","[20, 41, 42, 43]","[4, 20, 41, 42, 43, 60]",complete,
cm2,continuous,500,50,10.0,4,1393387271,m_low,m,10,0.95,2.0,2.0,0.3,0.5,0.37499999999999994,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.42857142857142855,0.5,0.4615384615384615,1.0,7.0,0.45454545454545453,0.8333333333333334,0.5882352941176471,1.0,11.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.4444444444444444,0.6666666666666666,0.5333333333333333,1.0,9.0,"[0, 20, 40, 41, 42, 43]","[28, 41, 42, 43, 44, 59, 60, 61, 78, 81]",[],"[28, 41, 42, 43, 44, 60, 81]","[0, 4, 8, 20, 37, 41, 42, 43, 44, 60, 81]","[41, 43]","[4, 8, 20, 37, 41, 42, 43, 44, 60]",complete,
cm2,continuous,500,50,10.0,4,1393387271,m_high,m,50,0.95,2.0,2.0,0.375,0.5,0.42857142857142855,1.0,8.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.0,3.0,0.5,0.8333333333333334,0.625,1.0,10.0,1.0,0.5,0.6666666666666666,1.0,3.0,0.5714285714285714,0.6666666666666666,0.6153846153846153,1.0,7.0,"[0, 20, 40, 41, 42, 43]","[1, 7, 26, 38, 41, 42, 43, 60]","[42, 43]","[42, 43, 60]","[0, 4, 8, 12, 20, 37, 41, 42, 43, 60]","[20, 42, 43]","[4, 20, 37, 41, 42, 43, 60]",complete,
cm2,continuous,500,50,10.0,4,1393387271,beta_low,beta,20,0.95,1.0,2.0,0.3,0.5,0.37499999999999994,1.0,10.0,0.5,0.16666666666666666,0.25,1.0,2.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.0,3.0,0.4444444444444444,0.6666666666666666,0.5333333333333333,1.0,9.0,1.0,0.5,0.6666666666666666,1.0,3.0,0.5,0.6666666666666666,0.5714285714285715,1.0,8.0,"[0, 20, 40, 41, 42, 43]","[4, 21, 27, 32, 41, 42, 43, 59, 60, 77]","[32, 43]","[32, 41, 43]","[4, 6, 12, 20, 37, 41, 42, 43, 60]","[20, 42, 43]","[4, 12, 20, 37, 41, 42, 43, 60]",complete,
cm2,continuous,500,50,10.0,4,1393387271,beta_high,beta,20,0.95,3.0,2.0,0.2727272727272727,0.5,0.3529411764705882,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.75,0.5,0.6,1.0,4.0,0.5,0.8333333333333334,0.625,1.0,10.0,1.0,0.5,0.6666666666666666,1.0,3.0,0.5,0.6666666666666666,0.5714285714285715,1.0,8.0,"[0, 20, 40, 41, 42, 43]","[6, 14, 18, 41, 42, 43, 44, 60, 65, 66, 80]",[],"[41, 42, 43, 44]","[0, 4, 8, 20, 37, 41, 42, 43, 44, 60]","[41, 42, 43]","[4, 8, 20, 37, 41, 42, 43, 60]",complete,
cm2,continuous,500,50,10.0,4,1393387271,k_low,k,20,0.95,2.0,1.0,0.42857142857142855,0.5,0.4615384615384615,1.0,7.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,3.0,0.5555555555555556,0.8333333333333334,0.6666666666666667,1.0,9.0,1.0,0.6666666666666666,0.8,1.0,4.0,0.5714285714285714,0.6666666666666666,0.6153846153846153,1.0,7.0,"[0, 20, 40, 41, 42, 43]","[6, 7, 30, 41, 42, 43, 73]",[41],"[41, 42, 43]","[0, 4, 12, 20, 30, 41, 42, 43, 60]","[20, 41, 42, 43]","[12, 20, 30, 41, 42, 43, 60]",complete,
